"ts","sessionid","level","iteminsession","city","zip","state","useragent","lon","lat","userid","lastname","firstname","gender","registration","success","month","day","hour"
2023-11-28 00:18:35.000,168337,free,6,Longwood,,FL,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-81.414779,28.727263,75584,Young,Emma,F,1543255200000,true,,,0
2023-11-28 00:20:28.000,232715,paid,1,Chicago,,IL,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-87.552739,41.718197,44637,Curry,Ahmed,M,1600718511000,true,,,0
2023-11-28 00:21:31.000,236716,paid,8,Los Angeles,,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-118.350411,34.07041,67658,Williams,Emily,F,1543255200000,true,,,0
2023-11-28 00:21:39.000,37290,free,1,Long Beach,,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-118.180567,33.864617,,,,,,false,,,0
2023-11-28 00:21:40.000,37290,free,2,Long Beach,,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-118.180567,33.864617,,,,,,false,,,0
2023-11-28 00:21:54.000,37290,free,3,Long Beach,,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-118.180567,33.864617,37291,Dickerson,Katelyn,F,1543255200000,true,,,0
2023-11-28 00:22:01.000,190647,paid,1,Middletown,,NY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-74.478741,41.446544,33828,Jimenez,Sofia,F,1635365249000,true,,,0
2023-11-28 00:22:14.000,26903,free,2,Saluda,,VA,"""Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-76.609283,37.575671,26904,Palmer,Skylah,F,1543255200000,true,,,0
2023-11-28 00:22:50.000,231729,paid,12,Merritt Island,,FL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-80.702668,28.441687,35381,Dean,Connor,M,1543255200000,true,,,0
2023-11-28 00:23:02.000,2784,free,2,Oliver Springs,,TN,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-84.409158,36.070393,2785,Leon,Landon,M,1543255200000,true,,,0
2023-11-28 00:23:21.000,46781,free,1,Centralia,,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-89.141837,38.512863,46782,Gill,Valeria,F,1574126585000,true,,,0
2023-11-28 00:24:13.000,211898,free,2,Glen Burnie,,MD,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-76.629444,39.161942,,,,,,false,,,0
2023-11-28 00:24:23.000,223242,free,1,Sussex,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.610416,41.246268,,,,,,false,,,0
2023-11-28 00:25:50.000,174312,free,4,Quincy,,MA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-71.020475,42.292142,19713,White,Karina,F,1678691870000,true,,,0
2023-11-28 00:26:25.000,185976,free,7,Medway,,OH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-84.024458,39.875585,67689,Macias,Mychal,M,1543255200000,true,,,0
2023-11-28 00:26:45.000,40356,free,4,Frankfort,,IL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-87.832416,41.477368,40357,Little,Levi,M,1543255200000,true,,,0
2023-11-28 00:26:47.000,86383,free,2,Albany,,GA,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,-84.042942,31.51689,86384,Whitaker,Semajah,F,1543255200000,true,,,0
2023-11-28 00:26:53.000,217051,free,3,Malvern,,AR,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-92.821803,34.342042,30061,Brandt,Asher,M,1543255200000,true,,,0
2023-11-28 00:27:23.000,237455,free,5,Urbandale,,IA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.79365,41.625632,24115,Wood,Zechariah,M,1594639385000,true,,,0
2023-11-28 00:28:34.000,220844,paid,2,Arlington,,VA,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-77.124238,38.906665,37928,Woods,Kayden,M,1543255200000,true,,,0
2023-11-28 00:28:45.000,212285,paid,1,Houston,,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.460693,29.583542,94138,Olsen,Camden,M,1646810126000,true,,,0
2023-11-28 00:28:48.000,215496,paid,4,San Antonio,,TX,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:31.0) Gecko/20100101 Firefox/31.0,-98.676785,29.462006,81792,Ward,Alison,F,1652322693000,true,,,0
2023-11-28 00:29:49.000,231729,paid,17,Merritt Island,,FL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-80.702668,28.441687,35381,Dean,Connor,M,1543255200000,true,,,0
2023-11-28 00:30:32.000,19560,free,1,Canton,,OH,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-81.451327,40.847623,19561,Davis,Rayna,F,1543255200000,true,,,0
2023-11-28 00:31:22.000,93257,paid,10,Channahon,,IL,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-88.201907,41.4236,93258,Park,Hadassah,F,1543255200000,true,,,0
2023-11-28 00:32:09.000,214665,free,7,North Miami Beach,,FL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-80.135801,25.933997,45809,Miles,Gretta,F,1543255200000,true,,,0
2023-11-28 00:32:12.000,209565,paid,141,La Porte,,IN,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,-86.721724,41.607057,32685,Smith,Zander,M,1543255200000,true,,,0
2023-11-28 00:32:14.000,191370,paid,169,Wetumpka,,AL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-86.201587,32.617007,9028,Hansen,Piper,F,1543255200000,true,,,0
2023-11-28 00:33:00.000,7187,free,2,Concord,,NH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-71.553012,43.23227,7188,Miller,Anthony,M,1543255200000,true,,,0
2023-11-28 00:33:41.000,218597,free,1,Madison,,OH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-81.060305,41.760117,6925,Merritt,Tiana,F,1543255200000,true,,,0
2023-11-28 00:34:36.000,183182,paid,1,Renton,,WA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",-122.123973,47.442737,64830,Holland,Maria,F,1543255200000,true,,,0
2023-11-28 00:36:16.000,234657,free,2,Las Vegas,,NV,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-115.10869,36.151355,34198,Wood,Ryder,M,1671844581000,true,,,0
2023-11-28 00:36:31.000,226727,paid,1,Springdale,,AR,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-94.060223,36.175682,45292,Hunt,Haylee,F,1543255200000,true,,,0
2023-11-28 00:37:03.000,236729,free,7,Riverside,,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-117.442303,33.882579,37575,Conley,Brianna,F,1543255200000,true,,,0
2023-11-28 00:37:40.000,87863,free,2,Chula Vista,,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-117.053949,32.607008,87864,Lewis,Ezra,M,1591161476000,true,,,0
2023-11-28 00:38:11.000,225054,free,4,Opelousas,,LA,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,-92.104961,30.533657,75630,James,Andru,M,1616278063000,true,,,0
2023-11-28 00:38:26.000,216335,paid,32,Pamplin,,VA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,-78.659633,37.264893,18299,Blevins,Ricardo,M,1567146390000,true,,,0
2023-11-28 00:38:41.000,59478,paid,1,Bothell,,WA,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,-122.199069,47.841169,59479,Huynh,Zekiah,M,1543255200000,true,,,0
2023-11-28 00:39:05.000,217879,free,9,Cohasset,,MN,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,-93.686796,47.220628,70043,Parker,Joseph,M,1543255200000,true,,,0
2023-11-28 00:39:19.000,75539,free,2,Niles,,OH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-80.749296,41.189561,75540,Hall,Levi,M,1613960434000,true,,,0
2023-11-28 00:40:00.000,208053,free,7,Brooklyn,,NY,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-73.99609,40.599148,86766,Craig,Kadence,F,1543255200000,true,,,0
2023-11-28 00:40:53.000,232697,paid,2,Broad Brook,,CT,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-72.547432,41.901899,,,,,,false,,,0
2023-11-28 00:40:54.000,232697,paid,3,Broad Brook,,CT,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-72.547432,41.901899,,,,,,false,,,0
2023-11-28 00:40:56.000,224703,paid,1,Eufaula,,OK,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-95.65932,35.284422,,,,,,false,,,0
2023-11-28 00:41:14.000,232697,paid,4,Broad Brook,,CT,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-72.547432,41.901899,75579,Smith,Isa,M,1602301528000,true,,,0
2023-11-28 00:41:34.000,35032,paid,10,Emporia,,VA,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-77.550253,36.670258,35033,Smith,Jayden,M,1546030955000,true,,,0
2023-11-28 00:43:33.000,157591,paid,17,Saint Helena,,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-122.419923,38.542448,90526,Reyes,Troyce,M,1543255200000,true,,,0
2023-11-28 00:44:07.000,67150,paid,64,Albuquerque,,NM,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,-106.646575,35.081357,67151,Hunt,Brendan,M,1599584812000,true,,,0
2023-11-28 00:44:29.000,226949,paid,3,Clemson,,SC,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-82.815832,34.681567,88687,Garza,Rachel,F,1543255200000,true,,,0
2023-11-28 00:44:36.000,31971,free,5,Fall River,,MA,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-71.129726,41.692705,31972,Brown,Patrick,M,1636500438000,true,,,0
2023-11-28 00:45:23.000,59317,free,2,West Covina,,CA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-117.902359,34.022581,59318,Anderson,Mya,F,1543255200000,true,,,0
2023-11-28 00:47:39.000,217702,paid,1,Quincy,,MA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/6.1.6 Safari/537.78.2""",-71.002279,42.248386,73144,Goodwin,Nicoletta,F,1543255200000,true,,,0
2023-11-28 00:49:43.000,215504,free,5,Fayette,,AL,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-87.815637,33.658512,49952,Robinson,Ethan,M,1610969157000,true,,,0
2023-11-28 00:50:55.000,130132,free,2,Leesburg,,VA,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-77.544111,39.184706,14968,Garcia,Matthew,M,1589228294000,true,,,0
2023-11-28 00:51:04.000,229508,paid,24,Houston,,TX,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.435966,29.853067,80868,Wheeler,Bertha,F,1543255200000,true,,,0
2023-11-28 00:51:16.000,181777,free,1,Mountain View,,CA,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) GSA/4.1.0.31802 Mobile/11D257 Safari/9537.53""",-122.070895,37.421865,33488,Olson,Ian,M,1543255200000,true,,,0
2023-11-28 00:51:44.000,237781,free,8,Rosemount,,MN,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,-93.062773,44.735516,93515,Collins,Randy,M,1543255200000,true,,,0
2023-11-28 00:51:48.000,201154,free,2,Brownsville,,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-97.443582,25.988942,80502,Valenzuela,Asher,M,1543255200000,true,,,0
2023-11-28 00:52:06.000,58564,free,1,Georgetown,,TX,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-97.753177,30.647924,58565,Olsen,Landon,M,1543255200000,true,,,0
2023-11-28 00:52:10.000,215662,paid,1,Malden,,MA,"""Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-71.057694,42.43014,45338,Frye,Parker,M,1587747578000,true,,,0
2023-11-28 00:54:18.000,16564,free,1,Saint Louis,,MO,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-90.192397,38.801051,16565,Campbell,Hailey,F,1543255200000,true,,,0
2023-11-28 00:55:33.000,228705,paid,49,La Mesa,,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",-116.99726,32.759327,6310,Perez,Anthony,M,1570207023000,true,,,0
2023-11-28 00:55:42.000,233232,free,6,Orange City,,FL,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-81.29682,28.941315,32449,Powell,Liara,F,1543255200000,true,,,0
2023-11-28 00:57:04.000,174989,paid,7,Indianapolis,,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,-86.177595,39.898143,85857,Brown,Calvin,M,1549066895000,true,,,0
2023-11-28 00:57:08.000,68717,free,2,Philadelphia,,PA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-74.983219,40.096485,68718,Wu,Kaylee,F,1543255200000,true,,,0
2023-11-28 00:57:46.000,212193,paid,2,Reno,,NV,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-119.917297,39.52432,24303,Tanner,Parker,M,1543255200000,true,,,0
2023-11-28 00:57:56.000,233228,paid,19,Mayo,,FL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.228097,30.039624,69139,Weber,Lainey,F,1693527038000,true,,,0
2023-11-28 00:59:37.000,234959,free,10,Berlin,,NH,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-71.155466,44.504596,85581,Burke,Isabella,F,1642182314000,true,,,0
2023-11-28 01:00:33.000,97065,free,7,Jamaica,,NY,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-73.793071,40.715359,97066,Brown,Caleb,M,1590429385000,true,,,1
2023-11-28 01:00:49.000,11351,free,1,Bronx,,NY,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-73.912332,40.852779,11352,Bell,Lucia,F,1543255200000,true,,,1
2023-11-28 01:03:01.000,58952,free,2,Lebanon,,TN,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-86.268888,36.263321,58953,Diaz,Zion,M,1608261720000,true,,,1
2023-11-28 01:03:34.000,30679,free,3,Cape Coral,,FL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-81.944393,26.576012,30680,Payne,Isabella,F,1669641543000,true,,,1
2023-11-28 01:03:53.000,234725,paid,2,Bronx,,NY,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-73.90812,40.829881,89830,Rivera,Julia,F,1543255200000,true,,,1
2023-11-28 01:04:12.000,23873,free,10,West Chester,,PA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-75.604383,39.989503,,,,,,false,,,1
2023-11-28 01:04:31.000,240110,paid,1,Orlando,,FL,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-81.322855,28.483996,76514,Henderson,Kyle,M,1597000284000,true,,,1
2023-11-28 01:05:54.000,232392,paid,1,Toledo,,OH,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-83.540954,41.651526,,,,,,false,,,1
2023-11-28 01:06:39.000,216283,paid,3,Orion,,IL,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-90.398881,41.362901,38375,Jackson,Taryn,F,1543255200000,true,,,1
